name	wrong_cas	our_formula	pubchem_formula
SiS	32385-11-8	SSi	C19H37N5O7
NO	14332-28-6	NO	HNO
NH	7664-41-7	HN	H3N
PO	13840-40-9	OP	HOP
VF3	79279-29-1	F3V	C8H11NO3S2
PH	7803-51-2	HP	H3P
CN	74-90-8	CN	CHN
PCl	37231-52-0	ClP	ClH2P
SF	62064-82-8	FS	FHS
NS	14616-59-2	NS	HNS
CP	61183-53-7	CP	CH3P
OCl	7790-92-3	ClO	ClHO
ClO	7790-92-3	ClO	ClHO
BH	54037-14-8	HB	Bh
diallyl_sulfide	592-88-1	C5H8S	C6H10S
Au2	7440-57-5	Au2	Au
C2	74-86-2	C2	C2H2
NF	15861-05-9	FN	FH2N
BS	123-95-5	BS	C22H44O2
BN	15119-97-8	BN	BHN
phenanthrene	85-01-8	C13H8	C14H10
TiH	22574-47-6	HTi	C7H9NO2S
CS	7440-46-2	CS	Cs
OH	7732-18-5	HO	H2O
SCl	15880-17-8	ClS	ClHS
PF	14500-81-3	FP	FH2P
NCl	10599-90-3	ClN	ClH2N
CaF	56-75-7	CaF	C11H12Cl2N2O5
CH	74-82-8	CH	CH4
CCl	74-87-3	CCl	CH3Cl
2_Butynyl	503-17-3	C4H5	C4H6
NaO	1310-73-2	NaO	HNaO
SH	7783-06-4	HS	H2S
CF	593-53-3	CF	CH3F
2_Methylallyl	115-11-7	C4H7	C4H8
HOSO2	15181-46-1	H2O3S	HO3S-
n_Propyl	74-98-6	C3H7	C3H8
iso_Butyl	75-28-5	C4H9	C4H10
n_Butyl	106-97-8	C4H9	C4H10
CaCl	10043-52-4	CaCl	CaCl2
OF	14034-79-8	FO	FHO
LiO	1310-65-2	LiO	HLiO
VOF3	13709-31-4	F3OV	F3H3OV
VOCl3	7727-18-6	Cl3OV	Cl3H3OV
MgI	700870-56-0	IMg	C16H16O6
SiH3Br	13465-73-1	H3BrSi	BrSi
3_Butenyl	106-98-9	C4H7	C4H8
dimethyl_phosphite	31682-64-1	C2H7O3P	C2H6O3P+
MnF	145370-39-4	FMn	C16H11NO5
Vinylidene_2143693	74-85-1	C2H2	C2H4
TiF	548-25-4	FTi	C20H8I4O5
FeOH	12315-09-2	HFeO	FeH2O
SiH3F	11128-24-8	H3FSi	FSi
TiOCl2	13780-39-7	Cl2OTi	Cl2H2OTi
