molecule,nucleus,ref_ppm,HF,MP2,CCSD-Λ,t_seconds
H₂,1H,26.7,28.083412134001353,28.083458451882517,28.083413711320585,15.3
HF,19F,418.6,280.3980555487958,280.3978203009983,280.3980073447021,11.9
HF,1H,28.5,87.30088554648368,87.30100331447996,87.3008753456691,12.3
N₂,15N,-58.1,48046661317810.68,353.36462024834134,353.36463581509156,43.8
CO,13C,5.6,295.8224004264862,295.8014936462759,295.68809666959345,35.3
CO,17O,-52.9,339.24802951027897,339.354243963375,339.241656573608,37.5
F₂,19F,-188.7,341.0718759510203,342.1766234080833,341.0271059039557,35.8
H₂O,17O,337.9,224.37026648607952,224.36889754393863,224.3737430487107,24.1
H₂O,1H,30.7,98.99420937883805,98.99570991170215,98.99461742827512,28.5
NH₃,15N,270.7,204.81714684941892,204.80158784006537,204.817370760163,29.0
NH₃,1H,31.4,90.36490227517963,90.36516368077113,90.36499903964308,28.0
CH₄,13C,198.7,210.07466069052458,209.91623758759633,210.05037289628544,36.2
CH₄,1H,31.0,95.25872487904894,95.2536557344795,95.25801335912811,35.4
HCN,13C,80.1,222.07239483001447,221.97723371194348,222.29589657463782,39.1
HCN,15N,-20.4,284.4647203071161,284.8528855424027,284.5172998527753,39.4
